code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
FR|0|France|FR|||0.0|0.0|0.6053215077605321|0.8090935455156604|0.00496475781379785|0.2831168831168832|0.20932034384997844|0.6053215077605321|0.19569120287253144|0.696726416658787
HR|0|Hrvatska|HR|||0.0|0.0|0.5986696230598667|0.0486602478753076|0.003412677694188006|0.1792207792207792|0.07222731494691087|0.5986696230598667|0.059245960502693|0.013799869288871875
HU|0|Magyarország|HU|||0.0|0.0|0.6518847006651882|0.11730874966490756|0.005021714882407385|0.19740259740259744|0.09016045118168076|0.6518847006651882|0.06463195691202873|0.03660339642771886
AL|0|Shqipëria|AL|||0.0|0.0|0.4567627494456763|0.03403254498463411|0.004665733203597788|0.1558441558441558|0.0884287561542711|0.4567627494456763|0.010771992818671455|0.0033816504464301723
AT|0|Österreich|AT|||0.0|0.0|0.52549889135255|0.10629438713167927|0.005021714882407385|0.1818181818181818|0.1221254773164646|0.52549889135255|0.24236983842010773|0.11211490437079565
BE|0|Belgique/België|BE|||0.0|0.0|0.5166297117516632|0.1375876851564581|0.017751619716638585|0.21818181818181823|0.13762270599734097|0.5166297117516632|0.22621184919210052|0.1351292955659523
BG|0|Bulgaria|BG|||0.0|0.0|0.5875831485587579|0.08389480534872902|0.0029712604124641053|0.20259740259740264|0.05648270126211882|0.5875831485587579|0.03052064631956912|0.015329862185163162
CH|0|Schweiz/Suisse/Svizzera|CH|||0.0|0.0|0.4900221729490022|0.10250739221893826|0.010076654721503667|0.19220779220779224|0.140253637925487|0.4900221729490022|0.14391992583987517|0.010071491969965738
CY|0|Kýpros|CY|||0.0|0.0|0.556541019955654|0.01009294495530203|0.004418919239623134|0.14285714285714288|0.10327185638921096|0.556541019955654|0.12926391382405744|0.005919013756787925
CZ|0|Česko|CZ|||0.0|0.0|0.5210643015521061|0.12787798532034536|0.0064741201319505415|0.24155844155844156|0.1245818738124002|0.5210643015521061|0.09874326750448834|0.0593506600059265
DE|0|Deutschland|DE|||0.0|0.0|0.5121951219512197|1.0|0.011078149844554666|0.20519480519480524|0.26657555411205475|0.5121951219512197|0.2280071813285458|1.0
DK|0|Danmark|DK|||0.0|0.0|0.47450110864745|0.0695064468801742|0.006488359399102926|0.24675324675324675|0.11330992029042694|0.47450110864745|0.2998204667863555|0.08723951468936444
EE|0|Eesti|EE|||0.0|0.0|0.7139689578713966|0.015502880876048066|0.0013812089137812374|0.23376623376623376|0.09873697055056063|0.7139689578713966|0.0969479353680431|0.0069925607701707086
BE1|1|Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest|BE|BE1||0.0|0.0|0.5321507760532149|0.1375876851564581|0.35456724493912717|0.2597402597402597|0.10185660168889589|0.5321507760532149|0.4057450628366248|0.024946704987502434
BE2|1|Vlaams Gewest|BE|BE2||0.0|0.0|0.49667405764966754|0.1375876851564581|0.02319101976884923|0.21558441558441563|0.12245254153943286|0.49667405764966754|0.22980251346499103|0.07911490601559046
BE3|1|Région wallonne|BE|BE3||0.0|0.0|0.5498891352549891|0.1375876851564581|0.010181076013954482|0.21298701298701303|0.1021563473224747|0.5498891352549891|0.15798922800718135|0.030896196826103825
BG3|1|Severna i Yugoiztochna Bulgaria|BG|BG3||0.0|0.0|0.5742793791574281|0.08389480534872902|0.0023969433039846217|0.22337662337662337|0.0666307983705979|0.5742793791574281|0.01974865350089767|0.005776536386397594
BG4|1|Yugozapadna i Yuzhna tsentralna Bulgaria|BG|BG4||0.0|0.0|0.6008869179600886|0.08389480534872902|0.0038825735102166743|0.1818181818181818|0.08427329516825215|0.6008869179600886|0.04129263913824058|0.009496626350475719
CH0|1|Schweiz/Suisse/Svizzera|CH|CH0||0.0|0.0|0.4900221729490022|0.10250739221893826|0.010076654721503667|0.19220779220779224|0.140253637925487|0.4900221729490022|0.14391992583987517|0.010071491969965738
CY0|1|Kýpros|CY|CY0||0.0|0.0|0.556541019955654|0.01009294495530203|0.004418919239623134|0.14285714285714288|0.10327185638921096|0.556541019955654|0.12926391382405744|0.005919013756787925
