id,name,q,r
LI00,"Liechtenstein",0,0
AT11,"Burgenland",1,0
AT12,"Niederösterreich",2,0
AT13,"Wien",3,0
AT21,"Kärnten",1,-1
AT22,"Steiermark",2,-1
AT31,"Oberösterreich",3,-1
AT32,"Salzburg",1,-2
AT33,"Tirol",2,-2
AT34,"Vorarlberg",3,-2
CH01,"Région lémanique",-1,0
CH02,"Espace Mittelland",-2,0
CH03,"Nordwestschweiz",-3,0
CH04,"Zürich",0,-1
CH05,"Ostschweiz",-1,-1
CH06,"Zentralschweiz",-2,-1
CH07,"Ticino",-3,-1
ITC1,"Piemonte",0,-2
ITC2,"Valle d’Aosta/Vallée d’Aoste",-1,-2
ITC3,"Liguria",1,-3
ITC4,"Lombardia",0,-3
ITF1,"Abruzzo",-1,-3
ITF2,"Molise",1,-4
ITF3,"Campania",0,-4
ITF4,"Puglia",-1,-4
ITF5,"Basilicata",1,-5
ITF6,"Calabria",-0,-5
ITG1,"Sicilia",-1,-5
ITG2,"Sardegna",1,-6
ITH1,"Provincia Autonoma di Bolzano/Bozen",0,-6
ITH2,"Provincia Autonoma di Trento",-1,-6
ITH3,"Veneto",1,-7
ITH4,"Friuli-Venezia Giulia",0,-7
ITH5,"Emilia-Romagna",-1,-7
ITI1,"Toscana",1,-8
ITI2,"Umbria",0,-8
ITI3,"Marche",-1,-8
ITI4,"Lazio"-,1,-9
MT00,"Malta",-2,-11
