id,name,q,r,colour
LI00,"Liechtenstein",0,0,"rgb(106,60,60)"
AT11,"Burgenland",1,0,"rgb(159,90,90)"
AT12,"Niederösterreich",2,0,"rgb(159,90,90)"
AT13,"Wien",3,0,"rgb(159,90,90)"
AT21,"Kärnten",1,-1,"rgb(159,90,90)"
AT22,"Steiermark",2,-1,"rgb(159,90,90)"
AT31,"Oberösterreich",3,-1,"rgb(159,90,90)"
AT32,"Salzburg",1,-2,"rgb(159,90,90)"
AT33,"Tirol",2,-2,"rgb(159,90,90)"
AT34,"Vorarlberg",3,-2,"rgb(159,90,90)"
CH01,"Région lémanique",-1,0,"rgb(212,120,120)"
CH02,"Espace Mittelland",-2,0,"rgb(212,120,120)"
CH03,"Nordwestschweiz",-3,0,"rgb(212,120,120)"
CH04,"Zürich",0,-1,"rgb(212,120,120)"
CH05,"Ostschweiz",-1,-1,"rgb(212,120,120)"
CH06,"Zentralschweiz",-2,-1,"rgb(212,120,120)"
CH07,"Ticino",-3,-1,"rgb(212,120,120)"
ITC1,"Piemonte",0,-2,"rgb(0,150,150)"
ITC2,"Valle d’Aosta/Vallée d’Aoste",-1,-2,"rgb(0,150,150)"
ITC3,"Liguria",1,-3,"rgb(0,150,150)"
ITC4,"Lombardia",0,-3,"rgb(0,150,150)"
ITF1,"Abruzzo",-1,-3,"rgb(0,150,150)"
ITF2,"Molise",1,-4,"rgb(0,150,150)"
ITF3,"Campania",0,-4,"rgb(0,150,150)"
ITF4,"Puglia",-1,-4,"rgb(0,150,150)"
ITF5,"Basilicata",1,-5,"rgb(0,150,150)"
ITF6,"Calabria",-0,-5,"rgb(0,150,150)"
ITG1,"Sicilia",-1,-5,"rgb(0,150,150)"
ITG2,"Sardegna",1,-6,"rgb(0,150,150)"
ITH1,"Provincia Autonoma di Bolzano/Bozen",0,-6,"rgb(0,150,150)"
ITH2,"Provincia Autonoma di Trento",-1,-6,"rgb(0,150,150)"
ITH3,"Veneto",1,-7,"rgb(0,150,150)"
ITH4,"Friuli-Venezia Giulia",0,-7,"rgb(0,150,150)"
ITH5,"Emilia-Romagna",-1,-7,"rgb(0,150,150)"
ITI1,"Toscana",1,-8,"rgb(0,150,150)"
ITI2,"Umbria",0,-8,"rgb(0,150,150)"
ITI3,"Marche",-1,-8,"rgb(0,150,150)"
ITI4,"Lazio"-,1,-9,"rgb(0,150,150)"
MT00,"Malta",-2,-11,"rgb(53,180,180)"
DE23,"Oberpfalz",3,1,"rgb(106,210,210)"
DE24,"Oberfranken",2,1,"rgb(106,210,210)"
DE25,"Mittelfranken",1,1,"rgb(106,210,210)"
DE26,"Unterfranken",0,1,"rgb(106,210,210)"
DE27,"Schwaben",-1,1,"rgb(106,210,210)"
DE30,"Berlin",-2,1,"rgb(106,210,210)"
DE40,"Brandenburg",3,2,"rgb(106,210,210)"
DE50,"Bremen",2,2,"rgb(106,210,210)"
DE60,"Hamburg",1,2,"rgb(106,210,210)"
DE71,"Darmstadt",0,2,"rgb(106,210,210)"
DE72,"Gießen",-1,2,"rgb(106,210,210)"
DE73,"Kassel",-2,2,"rgb(106,210,210)"
DE80,"Mecklenburg-Vorpommern",3,3,"rgb(106,210,210)"
DE91,"Braunschweig",2,3,"rgb(106,210,210)"
DE92,"Hannover",1,3,"rgb(106,210,210)"
DE93,"Lüneburg",0,3,"rgb(106,210,210)"
DE94,"Weser-Ems",-1,3,"rgb(106,210,210)"
DEA1,"Düsseldorf",-2,3,"rgb(106,210,210)"
DEA2,"Köln",3,4,"rgb(106,210,210)"
DEA3,"Münster",2,4,"rgb(106,210,210)"
DEA4,"Detmold",1,4,"rgb(106,210,210)"
DEA5,"Arnsberg",0,4,"rgb(106,210,210)"
DEB1,"Koblenz",-1,4,"rgb(106,210,210)"
DEB2,"Trier",-2,4,"rgb(106,210,210)"
DEB3,"Rheinhessen-Pfalz",3,5,"rgb(106,210,210)"
DEC0,"Saarland",2,5,"rgb(106,210,210)"
DED2,"Dresden",1,5,"rgb(106,210,210)"
DED4,"Chemnitz",0,5,"rgb(106,210,210)"
DED5,"Leipzig",-1,5,"rgb(106,210,210)"
DEE0,"Sachsen-Anhalt",-2,5,"rgb(106,210,210)"
DE11,"Stuttgart",3,6,"rgb(106,210,210)"
DE12,"Karlsruhe",2,6,"rgb(106,210,210)"
DE13,"Freiburg",1,6,"rgb(106,210,210)"
DE14,"Tübingen",0,6,"rgb(106,210,210)"
DE21,"Oberbayern",-1,6,"rgb(106,210,210)"
DE22,"Niederbayern",-2,6,"rgb(106,210,210)"
DEF0,"Schleswig-Holstein",3,7,"rgb(106,210,210)"
DEG0,"Thüringen",2,7,"rgb(106,210,210)"
BE10,"Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",-3,1,"rgb(159,240,240)"
BE21,"Prov. Antwerpen",-4,1,"rgb(159,240,240)"
BE22,"Prov. Limburg (BE)",-5,1,"rgb(159,240,240)"
BE23,"Prov. Oost-Vlaanderen",-6,1,"rgb(159,240,240)"
BE24,"Prov. Vlaams-Brabant",-3,2,"rgb(159,240,240)"
BE25,"Prov. West-Vlaanderen",-4,2,"rgb(159,240,240)"
BE31,"Prov. Brabant Wallon",-5,2,"rgb(159,240,240)"
BE32,"Prov. Hainaut",-6,2,"rgb(159,240,240)"
BE33,"Prov. Liège",-4,3,"rgb(159,240,240)"
BE34,"Prov. Luxembourg (BE)",-5,3,"rgb(159,240,240)"
BE35,"Prov. Namur",-6,3,"rgb(159,240,240)"
LU00,"Luxembourg",-3,3,"rgb(212,0,0)"
NL11,"Groningen",-3,4,"rgb(0,30,30)"
NL12,"Friesland (NL)",-4,4,"rgb(0,30,30)"
NL13,"Drenthe",-5,4,"rgb(0,30,30)"
NL21,"Overijssel",-6,4,"rgb(0,30,30)"
NL22,"Gelderland",-3,5,"rgb(0,30,30)"
NL23,"Flevoland",-4,5,"rgb(0,30,30)"
NL31,"Utrecht",-5,5,"rgb(0,30,30)"
NL32,"Noord-Holland",-6,5,"rgb(0,30,30)"
NL33,"Zuid-Holland",-3,6,"rgb(0,30,30)"
NL34,"Zeeland",-4,6,"rgb(0,30,30)"
NL41,"Noord-Brabant",-5,6,"rgb(0,30,30)"
NL42,"Limburg (NL)",-6,6,"rgb(0,30,30)"
UKC1,"Tees Valley and Durham",-10,0,"rgb(53,60,60)"
UKC2,"Northumberland and Tyne and Wear",-11,0,"rgb(53,60,60)"
UKD1,"Cumbria",-12,0,"rgb(53,60,60)"
UKD3,"Greater Manchester",-13,0,"rgb(53,60,60)"
UKD4,"Lancashire",-14,0,"rgb(53,60,60)"
UKD6,"Cheshire",-10,1,"rgb(53,60,60)"
UKD7,"Merseyside",-11,1,"rgb(53,60,60)"
UKE1,"East Yorkshire and Northern Lincolnshire",-12,1,"rgb(53,60,60)"
UKE2,"North Yorkshire",-13,1,"rgb(53,60,60)"
UKE3,"South Yorkshire",-14,1,"rgb(53,60,60)"
UKE4,"West Yorkshire",-10,2,"rgb(53,60,60)"
UKF1,"Derbyshire and Nottinghamshire",-11,2,"rgb(53,60,60)"
UKF2,"Leicestershire, Rutland and Northamptonshire",-12,2,"rgb(53,60,60)"
UKF3,"Lincolnshire",-13,2,"rgb(53,60,60)"
UKG1,"Herefordshire, Worcestershire and Warwickshire",-14,2,"rgb(53,60,60)"
UKG2,"Shropshire and Staffordshire",-10,3,"rgb(53,60,60)"
UKG3,"West Midlands",-11,3,"rgb(53,60,60)"
UKH1,"East Anglia",-12,3,"rgb(53,60,60)"
UKH2,"Bedfordshire and Hertfordshire",-13,3,"rgb(53,60,60)"
UKH3,"Essex",-14,3,"rgb(53,60,60)"
UKI3,"Inner London — West",-10,4,"rgb(53,60,60)"
UKI4,"Inner London — East",-11,4,"rgb(53,60,60)"
UKI5,"Outer London — East and North East",-12,4,"rgb(53,60,60)"
UKI6,"Outer London — South",-13,4,"rgb(53,60,60)"
UKI7,"Outer London — West and North West",-14,4,"rgb(53,60,60)"
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",-10,5,"rgb(53,60,60)"
UKJ2,"Surrey, East and West Sussex",-11,5,"rgb(53,60,60)"
UKJ3,"Hampshire and Isle of Wight",-12,5,"rgb(53,60,60)"
UKJ4,"Kent",-13,5,"rgb(53,60,60)"
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",-14,5,"rgb(53,60,60)"
UKK2,"Dorset and Somerset",-10,6,"rgb(53,60,60)"
UKK3,"Cornwall and Isles of Scilly",-11,6,"rgb(53,60,60)"
UKK4,"Devon",-12,6,"rgb(53,60,60)"
UKL1,"West Wales and The Valleys",-13,6,"rgb(53,60,60)"
UKL2,"East Wales",-14,6,"rgb(53,60,60)"
UKM5,"North Eastern Scotland",-10,7,"rgb(53,60,60)"
UKM6,"Highlands and Islands",-11,7,"rgb(53,60,60)"
UKM7,"Eastern Scotland",-12,7,"rgb(53,60,60)"
UKM8,"West Central Scotland",-13,7,"rgb(53,60,60)"
UKM9,"Southern Scotland",-14,7,"rgb(53,60,60)"
UKN0,"Northern Ireland",-10,8,"rgb(53,60,60)"
IE04,"Northern and Western",-16,5,"rgb(106,90,90)"
IE05,"Southern",-16,6,"rgb(106,90,90)"
IE06,"Eastern and Midland",-16,7,"rgb(106,90,90)"
FR10,"Ile-de-France",-4,0,"rgb(159,120,120)"
